institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
Southern University at New Orleans,17.0,City: Large,46.0,0.1538461538461538,2.6153846153846154,87.23076923076924,1.58974358974359,0.1025641025641025,5.076923076923077,1.435897435897436,1.4871794871794872,0.3076923076923077,1950,2
University of Louisiana at Lafayette,51.0,City: Midsize,70.0,0.3679611012550102,2.746566791510612,22.853012681516525,5.407714041658453,0.0854195413627702,59.65569354096852,3.6336158748932257,2.549444772981142,2.700571653853736,15219,1
University of Maine at Augusta,23.0,Town: Distant,66.0,1.0571300044984255,0.8771929824561403,2.8115159694107064,3.8911381016644175,0.0449842555105713,81.0391363022942,3.868645973909132,5.780476833108412,0.6297795771479981,4446,1
University of Maine at Farmington,53.0,Town: Remote,71.0,0.6532389765922699,0.8165487207403375,1.850843767011432,3.1028851388132823,0.0544365813826891,83.56015242242788,3.157321720195972,6.369080021774633,0.4354926510615133,1837,1
University of Maine at Fort Kent,37.0,Rural: Remote,59.0,0.4958677685950413,1.2396694214876034,4.462809917355372,4.049586776859504,0.2479338842975206,76.52892561983471,3.636363636363636,3.8016528925619832,5.537190082644628,1210,1
University of Maine,55.0,Suburb: Small,75.0,0.874826261139727,1.6842449513531192,1.6678930586215357,4.554002125746055,0.0327037854631673,79.1676886599624,3.2213228681219848,4.472242662088137,4.325075627503884,12231,1
Maine Maritime Academy,66.0,Rural: Distant,86.0,1.1148272017837235,1.6722408026755853,2.118171683389075,4.459308807134894,0.0,83.27759197324414,1.7837235228539576,4.793756967670011,0.7803790412486065,897,1
University of Maine at Presque Isle,29.0,Rural: Fringe,58.0,1.2994044396318354,1.353546291283162,4.60205739036275,5.089334055224689,0.1082837033026529,73.632918245804,3.1943692474282623,5.576610720086627,5.143475906876016,1847,1
University of Southern Maine,42.0,City: Small,67.0,0.712119214031386,2.149545034946591,5.92113939074245,4.193590927073718,0.0791243571145984,78.70236054332058,2.9012264275352764,4.008967427139655,1.3319266780957404,7583,1
University of Baltimore,33.0,City: Large,60.0,0.1520681265206812,5.170316301703163,38.13868613138686,8.546228710462287,0.0608272506082725,37.19586374695864,4.896593673965937,3.0717761557177616,2.767639902676399,3288,1
Bowie State University,40.0,Suburb: Large,73.0,0.2549800796812749,1.3705179282868525,80.68525896414343,4.940239043824701,0.1274900398406374,3.824701195219123,3.5059760956175303,2.454183266932271,2.8366533864541834,6275,2
Coppin State University,24.0,City: Large,62.0,0.3489531405782652,0.4985044865403789,80.10967098703888,2.741774675972084,0.0997008973080757,1.1964107676969091,1.6450648055832504,4.137587238285144,9.22233300099701,2006,2
Frostburg State University,49.0,Suburb: Small,72.0,0.2212933366117531,1.794934841406442,21.539218096877303,5.335628227194492,0.122940742562085,56.45438898450946,4.425866732235063,0.8605851979345954,9.245143840668796,4067,1
University of Maryland Global Campus,19.0,Suburb: Large,43.0,0.4745871986819012,5.648483111859307,27.61739317310792,15.761667681507216,0.737848776818654,34.618002077438305,4.586482323865468,8.707331924495863,1.8482037322253664,55838,1
University of Maryland-Baltimore County,70.0,Suburb: Large,86.0,0.0786219712672432,19.290972768208132,19.61260810521049,7.940819097991566,0.0571796154670859,30.605389178757772,4.845972410835537,1.6224715888785646,15.945965263383604,13991,5
University of Maryland-College Park,89.0,Suburb: Large,95.0,0.100509903902726,18.959599921553245,11.715532457344576,8.987056285546185,0.0588350656991567,39.99558737007256,4.258187879976466,4.214061580702098,11.71062953520298,40792,5
University of Maryland Eastern Shore,37.0,Town: Fringe,71.0,0.5162827640984908,2.1048451151707703,68.54646544876887,4.169976171564734,0.0,13.780778395552026,5.162827640984909,2.223987291501192,3.494837172359015,2518,2
Morgan State University,46.0,City: Large,74.0,0.1318536424568728,0.4285243379848368,68.82760136248763,4.461048236457533,0.0329634106142182,1.8019997802439287,2.757938688056257,10.822986485001648,10.735084056697067,9101,2
Salisbury University,69.0,Suburb: Small,76.0,0.4492489119752913,3.2008984978239505,13.547662501754878,6.47199213814404,0.1123122279938228,69.10009827319949,3.565913238803875,2.6112593008563807,0.9406149094482662,7123,1
St. Mary's College of Maryland,71.0,Suburb: Small,82.0,0.0657894736842105,3.552631578947368,11.38157894736842,8.552631578947368,0.5921052631578948,68.61842105263159,5.131578947368421,1.5789473684210529,0.5263157894736842,1520,1
Towson University,70.0,City: Small,82.0,0.0909412418531804,6.451775880361745,27.908856666498256,9.467993735158894,0.0505229121406557,45.84954276764513,5.158389329560956,3.036427019653413,1.9855504471277725,19793,1
Bridgewater State University,56.0,Suburb: Large,75.0,0.1145356101624323,2.134527280299875,10.401915868388173,8.808829654310705,0.041649312786339,71.32444814660558,5.75801749271137,0.8225739275301958,0.5935027072053312,9604,1
Fitchburg State University,56.0,Suburb: Midsize,72.0,0.1678364357644186,3.3567287152883734,9.276777540433322,10.512664021971316,0.091547146780592,67.3481843149222,1.5257857796765335,3.677143729020445,4.043332316142814,6554,1
Framingham State University,55.0,City: Small,71.0,0.1945998540501094,4.354171734371199,13.451714911213816,18.90051082461688,0.072974945268791,56.5312576015568,3.113597664801752,2.894672828995378,0.4864996351252736,4111,1
University of Massachusetts-Lowell,71.0,Suburb: Large,84.0,0.093278143764939,12.295225325016032,7.543869876989448,11.805515070250102,0.0408091878971608,51.71690083367341,2.926601760624964,6.488660875648574,7.08913892613537,17153,1
University of Massachusetts-Amherst,83.0,Suburb: Large,90.0,0.0775698904713146,11.483446585373422,4.548698377237892,7.936951193024916,0.0558503211393465,55.44385491327686,3.5651121660616214,3.9498588227993423,12.938657730615285,32229,1
University of Massachusetts-Boston,51.0,City: Large,72.0,0.0769921724624663,13.4287180803285,15.56525086616194,16.49557295008341,0.0513281149749775,35.39073527524702,3.4004876170922618,5.485692287950725,10.105222635698704,15586,5
Massachusetts College of Art and Design,66.0,City: Large,84.0,0.1031459515214028,6.601340897369779,3.5069623517276947,13.615265600825168,0.1031459515214028,50.69623517276946,4.693140794223827,15.162454873646208,5.518308406395049,1939,1
