institution name,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
Ouachita Baptist University,0.5605381165919282,1.4573991031390134,6.109865470852018,5.493273542600897,0.05605381165919283,80.77354260089686,3.6434977578475336,0.0,1.905829596412556,1784,1
University of the Ozarks,0.6377551020408163,1.403061224489796,6.122448979591836,13.137755102040815,0.6377551020408163,42.72959183673469,4.464285714285714,3.188775510204082,27.67857142857143,784,5
Philander Smith College,0.0,0.0,84.78543563068921,1.3003901170351104,1.8205461638491547,0.6501950585175552,2.340702210663199,2.4707412223667102,6.631989596879063,769,2
Williams Baptist University,0.0,0.17123287671232876,7.363013698630137,1.7123287671232876,2.3972602739726026,78.76712328767124,2.2260273972602738,0.0,7.363013698630137,584,1
Southern Arkansas University Main Campus,0.27483313702394974,0.745975657636435,17.530427954456222,4.377699254024343,0.03926187671770711,52.31645072634472,4.691794267765999,0.09815469179426776,19.925402434236357,5094,1
Academy of Art University,0.3978779840848806,6.660772178013557,10.212201591511937,14.441497200117889,0.45682287061597404,23.09165929855585,4.317712938402594,17.374005305039788,23.04745063365753,6786,5
Art Center College of Design,0.04132231404958678,27.603305785123965,1.487603305785124,9.132231404958677,0.2066115702479339,11.446280991735538,3.6363636363636362,0.0,46.44628099173554,2420,5
Azusa Pacific University,0.3208257776537871,14.325568419584322,6.84893290556563,36.86706653647649,0.9066815455433116,26.698284279536892,4.296275631189845,6.17938345654903,3.556981447900683,7169,3
Bethesda University,0.0,8.712121212121213,7.575757575757576,16.28787878787879,0.3787878787878788,3.0303030303030303,3.0303030303030303,0.3787878787878788,60.60606060606061,264,5
Biola University,0.1670688695006497,16.13142751067384,3.304250974568405,18.97159829218489,0.3341377390012994,39.48394282532022,6.831260441804343,4.715054761462781,10.061258585483571,5387,4
California Baptist University,0.548064375815572,6.2896911700739455,8.421052631578947,40.19138755980861,0.7481513701609395,32.501087429317096,5.315354501957373,3.3753806002609834,2.609830361026533,11495,3
California College of the Arts,0.19986675549633579,13.85742838107928,3.530979347101932,13.324450366422386,0.13324450366422386,19.38707528314457,5.263157894736842,4.596935376415723,39.7068620919387,1501,5
California Institute of Technology,0.08329862557267806,21.532694710537275,2.2074135776759682,13.119533527696792,0.04164931278633903,26.697209496043318,5.95585172844648,0.4581424406497293,29.90420658059142,2401,5
California Lutheran University,0.11065006915629322,5.255878284923928,3.67911479944675,38.69986168741356,0.33195020746887965,37.2060857538036,5.366528354080221,1.5767634854771784,7.773167358229599,3615,3
California Polytechnic State University-San Luis Obispo,0.10454545454545454,14.027272727272727,0.7318181818181818,21.436363636363637,0.2590909090909091,51.29090909090909,7.595454545454546,3.0454545454545454,1.509090909090909,22000,4
Alliant International University-San Diego,0.5557099194220617,7.863295359822173,7.863295359822173,28.869130313976104,0.5279244234509586,38.288413448180044,3.4176160044456796,6.807446512920255,5.807168657960545,3599,3
California State University-Bakersfield,0.29127223551440756,6.772079475709976,3.9009674399251013,66.98221158847394,0.18724643711640487,14.147508582128369,2.1533340268386563,4.119421616560907,1.4459585977322376,9613,3
California State University-Stanislaus,0.23636005515067954,8.93244041756943,2.383297222769352,61.38467598975773,0.6499901516643687,18.583809336222178,2.4817805790821352,4.658262753594642,0.689383494189482,10154,3
California State University-San Bernardino,0.15654193809018835,5.6759076907539265,5.191132656668182,68.49972226430339,0.15149219815179518,11.473009140029289,2.4693228298742613,3.423723678230571,2.959147603898399,19803,3
California State Polytechnic University-Pomona,0.11635094353343273,22.21575828091481,2.745155073991928,52.248845580482126,0.16361851434388974,13.994836926880705,3.51598007490092,2.748791040977348,2.250663563974839,27503,3
California State University-Chico,0.39483889163082564,5.696961150673341,2.5805541845871818,36.60720580977227,0.19036875132200523,43.56624127476557,5.302122259042516,3.617006275118099,2.0447014030882045,14183,3
California State University-Dominguez Hills,0.10958236941434313,7.512480214294412,11.049555582612932,67.78887130159504,0.22525264824059418,6.568854255448679,2.1612078412273226,2.8795811518324608,1.7046146353342264,16426,3
