institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
Kansas State University,65.0,60.0,62.0,43.0,51.0,56.0,72.0,60.0,68.0,45.0,City: Small,"10,000 - 19,999",2
Pittsburg State University,44.0,25.0,25.0,,27.0,40.0,59.0,50.0,,100.0,Town: Distant,"5,000 - 9,999",8
Washburn University,29.0,55.0,67.0,0.0,31.0,49.0,59.0,35.0,67.0,40.0,City: Midsize,"5,000 - 9,999",4
Wichita State University,50.0,66.0,67.0,0.0,46.0,53.0,54.0,43.0,27.0,23.0,City: Large,"10,000 - 19,999",2
Eastern Kentucky University,60.0,50.0,63.0,0.0,26.0,42.0,51.0,41.0,44.0,88.0,Town: Distant,"10,000 - 19,999",8
Kentucky State University,0.0,0.0,0.0,,32.0,33.0,37.0,14.0,50.0,0.0,Town: Distant,"1,000 - 4,999",1
University of Kentucky,50.0,73.0,72.0,100.0,52.0,63.0,71.0,62.0,73.0,72.0,City: Large,"20,000 and above",0
University of Louisville,0.0,73.0,74.0,0.0,62.0,51.0,63.0,55.0,0.0,71.0,City: Large,"20,000 and above",0
Morehead State University,0.0,33.0,25.0,50.0,40.0,39.0,48.0,30.0,40.0,80.0,Town: Remote,"5,000 - 9,999",6
Murray State University,50.0,77.0,77.0,,43.0,43.0,60.0,43.0,59.0,56.0,Town: Remote,"5,000 - 9,999",6
Northern Kentucky University,0.0,57.0,56.0,100.0,41.0,39.0,51.0,46.0,64.0,69.0,Suburb: Large,"10,000 - 19,999",2
Western Kentucky University,8.0,56.0,57.0,50.0,23.0,54.0,58.0,29.0,13.0,50.0,City: Small,"10,000 - 19,999",2
Grambling State University,0.0,0.0,,0.0,36.0,71.0,33.0,29.0,0.0,71.0,Town: Distant,"5,000 - 9,999",8
Louisiana State University-Alexandria,38.0,25.0,25.0,,24.0,17.0,35.0,17.0,17.0,8.0,Rural: Fringe,"1,000 - 4,999",1
Louisiana State University and Agricultural & Mechanical College,61.0,74.0,74.0,71.0,58.0,67.0,72.0,69.0,50.0,79.0,City: Midsize,"20,000 and above",9
Louisiana State University-Shreveport,0.0,14.0,14.0,,31.0,14.0,34.0,47.0,29.0,75.0,City: Midsize,"5,000 - 9,999",4
Louisiana Tech University,40.0,69.0,69.0,,44.0,45.0,65.0,48.0,50.0,55.0,Town: Distant,"10,000 - 19,999",8
McNeese State University,25.0,50.0,50.0,,32.0,36.0,50.0,36.0,,73.0,City: Small,"5,000 - 9,999",4
University of New Orleans,20.0,51.0,51.0,,23.0,36.0,43.0,34.0,71.0,67.0,City: Large,"5,000 - 9,999",4
Nicholls State University,33.0,50.0,50.0,,28.0,48.0,52.0,37.0,25.0,77.0,City: Small,"5,000 - 9,999",4
University of Louisiana at Monroe,60.0,63.0,61.0,100.0,42.0,40.0,54.0,38.0,42.0,68.0,City: Small,"5,000 - 9,999",4
Northwestern State University of Louisiana,58.0,29.0,33.0,0.0,44.0,42.0,48.0,40.0,80.0,50.0,Town: Remote,"5,000 - 9,999",6
Southeastern Louisiana University,57.0,53.0,50.0,100.0,33.0,41.0,48.0,36.0,20.0,64.0,City: Small,"10,000 - 19,999",2
Southern University and A & M College,,33.0,33.0,,31.0,17.0,18.0,33.0,40.0,0.0,City: Midsize,"5,000 - 9,999",4
Southern University at New Orleans,,100.0,100.0,,16.0,,0.0,,14.0,100.0,City: Large,"1,000 - 4,999",0
University of Louisiana at Lafayette,20.0,58.0,59.0,0.0,39.0,49.0,56.0,39.0,49.0,50.0,City: Midsize,"10,000 - 19,999",2
University of Maine at Augusta,100.0,50.0,50.0,,0.0,0.0,25.0,0.0,20.0,,Town: Distant,"1,000 - 4,999",1
University of Maine at Farmington,0.0,50.0,50.0,,30.0,33.0,54.0,58.0,67.0,50.0,Town: Remote,"1,000 - 4,999",6
University of Maine at Fort Kent,,0.0,,0.0,0.0,0.0,39.0,0.0,0.0,56.0,Rural: Remote,"1,000 - 4,999",3
University of Maine,48.0,59.0,59.0,,27.0,39.0,57.0,50.0,53.0,64.0,Suburb: Small,"10,000 - 19,999",2
Maine Maritime Academy,,0.0,0.0,,0.0,60.0,69.0,,63.0,,Rural: Distant,"Under 1,000",7
University of Maine at Presque Isle,20.0,,,,25.0,0.0,30.0,0.0,67.0,60.0,Rural: Fringe,"1,000 - 4,999",1
University of Southern Maine,18.0,36.0,39.0,0.0,28.0,29.0,44.0,43.0,18.0,75.0,City: Small,"5,000 - 9,999",4
University of Baltimore,50.0,33.0,38.0,0.0,35.0,67.0,29.0,0.0,43.0,,City: Large,"1,000 - 4,999",1
Bowie State University,,75.0,75.0,,39.0,45.0,25.0,51.0,13.0,83.0,Suburb: Large,"5,000 - 9,999",4
Coppin State University,100.0,60.0,60.0,,23.0,40.0,,17.0,21.0,20.0,City: Large,"1,000 - 4,999",1
Frostburg State University,0.0,63.0,63.0,,43.0,34.0,58.0,23.0,67.0,86.0,Suburb: Small,"1,000 - 4,999",1
University of Maryland Global Campus,0.0,28.0,26.0,33.0,11.0,15.0,22.0,21.0,25.0,60.0,Suburb: Large,"20,000 and above",1
University of Maryland-Baltimore County,100.0,74.0,74.0,,64.0,70.0,71.0,66.0,65.0,68.0,Suburb: Large,"10,000 - 19,999",5
University of Maryland-College Park,80.0,92.0,92.0,100.0,83.0,85.0,91.0,88.0,85.0,87.0,Suburb: Large,"20,000 and above",5
University of Maryland Eastern Shore,0.0,86.0,86.0,,38.0,33.0,32.0,44.0,,20.0,Town: Fringe,"1,000 - 4,999",1
Morgan State University,0.0,45.0,45.0,,43.0,42.0,67.0,59.0,31.0,57.0,City: Large,"5,000 - 9,999",4
Salisbury University,29.0,53.0,52.0,67.0,62.0,69.0,71.0,57.0,73.0,71.0,Suburb: Small,"5,000 - 9,999",4
St. Mary's College of Maryland,50.0,63.0,63.0,,59.0,50.0,77.0,75.0,46.0,100.0,Suburb: Small,"1,000 - 4,999",9
Towson University,20.0,75.0,74.0,100.0,67.0,65.0,72.0,66.0,72.0,55.0,City: Small,"10,000 - 19,999",2
Bridgewater State University,50.0,55.0,52.0,100.0,48.0,51.0,59.0,43.0,62.0,75.0,Suburb: Large,"5,000 - 9,999",4
Fitchburg State University,0.0,47.0,47.0,,48.0,48.0,59.0,57.0,57.0,67.0,Suburb: Midsize,"5,000 - 9,999",4
Framingham State University,0.0,67.0,67.0,,42.0,43.0,61.0,46.0,67.0,50.0,City: Small,"1,000 - 4,999",2
University of Massachusetts-Lowell,,72.0,72.0,,64.0,59.0,74.0,69.0,53.0,76.0,Suburb: Large,"10,000 - 19,999",5
University of Massachusetts-Amherst,75.0,82.0,81.0,100.0,81.0,75.0,85.0,77.0,84.0,81.0,Suburb: Large,"20,000 and above",5
University of Massachusetts-Boston,25.0,61.0,61.0,100.0,44.0,48.0,51.0,44.0,50.0,53.0,City: Large,"10,000 - 19,999",2
Massachusetts College of Art and Design,50.0,70.0,70.0,,59.0,61.0,67.0,40.0,64.0,74.0,City: Large,"1,000 - 4,999",0
Massachusetts Maritime Academy,,40.0,40.0,,40.0,71.0,81.0,60.0,70.0,100.0,Suburb: Midsize,"1,000 - 4,999",5
Massachusetts College of Liberal Arts,50.0,50.0,50.0,,58.0,52.0,56.0,67.0,63.0,0.0,Town: Fringe,"Under 1,000",1
Salem State University,0.0,30.0,30.0,,50.0,54.0,58.0,62.0,50.0,58.0,Suburb: Large,"5,000 - 9,999",4
University of Massachusetts-Dartmouth,0.0,56.0,56.0,,49.0,42.0,61.0,36.0,62.0,50.0,Suburb: Midsize,"5,000 - 9,999",4
Westfield State University,100.0,46.0,46.0,,49.0,47.0,63.0,51.0,59.0,100.0,Suburb: Large,"1,000 - 4,999",5
Worcester State University,0.0,86.0,86.0,,56.0,48.0,62.0,39.0,46.0,50.0,City: Midsize,"5,000 - 9,999",4
Central Michigan University,29.0,67.0,74.0,29.0,51.0,53.0,65.0,46.0,65.0,67.0,Town: Distant,"10,000 - 19,999",8
Eastern Michigan University,33.0,62.0,61.0,100.0,33.0,37.0,52.0,42.0,32.0,54.0,Suburb: Large,"10,000 - 19,999",2
Ferris State University,29.0,63.0,62.0,100.0,26.0,37.0,53.0,42.0,46.0,48.0,Town: Distant,"10,000 - 19,999",8
Grand Valley State University,77.0,62.0,62.0,50.0,50.0,55.0,69.0,61.0,43.0,45.0,Suburb: Large,"20,000 and above",5
Lake Superior State University,33.0,33.0,33.0,,43.0,33.0,54.0,,20.0,33.0,Town: Remote,"1,000 - 4,999",6
University of Michigan-Ann Arbor,100.0,96.0,96.0,75.0,82.0,89.0,94.0,89.0,88.0,94.0,City: Midsize,"20,000 and above",9
Michigan State University,61.0,80.0,80.0,100.0,65.0,67.0,86.0,77.0,67.0,79.0,City: Small,"20,000 and above",5
Michigan Technological University,14.0,58.0,55.0,100.0,38.0,44.0,69.0,78.0,75.0,53.0,Town: Remote,"5,000 - 9,999",6
University of Michigan-Dearborn,50.0,58.0,59.0,50.0,40.0,40.0,59.0,45.0,73.0,67.0,City: Midsize,"5,000 - 9,999",4
University of Michigan-Flint,100.0,56.0,56.0,,29.0,36.0,51.0,43.0,55.0,41.0,City: Small,"5,000 - 9,999",4
Northern Michigan University,24.0,29.0,29.0,,28.0,42.0,55.0,50.0,43.0,63.0,Town: Remote,"5,000 - 9,999",6
Oakland University,83.0,56.0,55.0,67.0,32.0,48.0,62.0,50.0,61.0,58.0,Suburb: Large,"10,000 - 19,999",2
Saginaw Valley State University,25.0,20.0,20.0,,24.0,52.0,52.0,51.0,46.0,62.0,Suburb: Midsize,"5,000 - 9,999",4
Wayne State University,33.0,70.0,70.0,100.0,40.0,50.0,64.0,43.0,70.0,59.0,City: Large,"20,000 and above",0
Western Michigan University,73.0,59.0,58.0,100.0,36.0,47.0,61.0,44.0,20.0,77.0,City: Small,"10,000 - 19,999",2
Bemidji State University,24.0,20.0,20.0,,27.0,48.0,52.0,37.0,56.0,60.0,Town: Remote,"1,000 - 4,999",6
Minnesota State University-Mankato,29.0,44.0,45.0,0.0,40.0,40.0,56.0,40.0,38.0,51.0,City: Small,"10,000 - 19,999",2
Metropolitan State University,,41.0,41.0,,22.0,0.0,42.0,0.0,,20.0,City: Large,"5,000 - 9,999",4
University of Minnesota-Twin Cities,50.0,83.0,83.0,80.0,78.0,77.0,85.0,82.0,88.0,85.0,City: Large,"20,000 and above",0
University of Minnesota-Crookston,67.0,100.0,100.0,,0.0,33.0,59.0,63.0,100.0,0.0,Town: Distant,"1,000 - 4,999",8
University of Minnesota-Duluth,43.0,55.0,53.0,100.0,57.0,51.0,64.0,46.0,50.0,63.0,City: Small,"5,000 - 9,999",4
University of Minnesota-Morris,36.0,67.0,67.0,,13.0,50.0,63.0,62.0,33.0,29.0,Town: Remote,"1,000 - 4,999",6
Minnesota State University Moorhead,0.0,43.0,43.0,,40.0,43.0,57.0,52.0,86.0,50.0,Suburb: Midsize,"1,000 - 4,999",1
Saint Cloud State University,0.0,31.0,31.0,0.0,29.0,32.0,46.0,24.0,67.0,69.0,City: Small,"10,000 - 19,999",2
Southwest Minnesota State University,50.0,22.0,25.0,0.0,14.0,18.0,51.0,40.0,36.0,21.0,Town: Remote,"5,000 - 9,999",6
Winona State University,25.0,48.0,48.0,,33.0,55.0,63.0,43.0,67.0,61.0,Town: Distant,"5,000 - 9,999",8
Alcorn State University,0.0,50.0,100.0,0.0,47.0,0.0,17.0,83.0,,57.0,Rural: Remote,"1,000 - 4,999",3
Delta State University,,50.0,50.0,,38.0,29.0,50.0,43.0,,67.0,Town: Remote,"1,000 - 4,999",6
Jackson State University,0.0,0.0,0.0,,34.0,40.0,30.0,33.0,,81.0,City: Midsize,"5,000 - 9,999",4
University of Mississippi,71.0,72.0,74.0,0.0,49.0,63.0,71.0,56.0,,83.0,Town: Remote,"20,000 and above",6
Mississippi University for Women,100.0,0.0,0.0,,35.0,0.0,53.0,,,22.0,Town: Remote,"1,000 - 4,999",6
Mississippi Valley State University,100.0,33.0,50.0,0.0,25.0,33.0,27.0,25.0,27.0,,Town: Remote,"1,000 - 4,999",6
Mississippi State University,38.0,62.0,60.0,75.0,44.0,57.0,70.0,55.0,69.0,65.0,Town: Remote,"20,000 and above",6
University of Southern Mississippi,50.0,56.0,56.0,,41.0,54.0,60.0,32.0,50.0,43.0,City: Small,"10,000 - 19,999",2
University of Central Missouri,50.0,58.0,70.0,0.0,39.0,37.0,56.0,44.0,68.0,69.0,Town: Distant,"10,000 - 19,999",8
Harris-Stowe State University,100.0,50.0,50.0,,19.0,29.0,31.0,17.0,25.0,,City: Large,"1,000 - 4,999",1
Lincoln University,40.0,33.0,33.0,,25.0,25.0,45.0,18.0,19.0,67.0,City: Small,"1,000 - 4,999",1
Missouri Southern State University,32.0,58.0,70.0,0.0,23.0,35.0,38.0,15.0,32.0,53.0,City: Small,"1,000 - 4,999",1
Missouri Western State University,25.0,18.0,11.0,50.0,36.0,31.0,42.0,42.0,50.0,50.0,City: Small,"1,000 - 4,999",1
University of Missouri-Columbia,69.0,74.0,75.0,50.0,65.0,67.0,77.0,73.0,81.0,79.0,City: Midsize,"20,000 and above",9
University of Missouri-Kansas City,0.0,81.0,81.0,100.0,40.0,50.0,54.0,57.0,70.0,71.0,City: Large,"10,000 - 19,999",2
Missouri University of Science and Technology,50.0,75.0,75.0,,50.0,62.0,62.0,46.0,60.0,57.0,Town: Remote,"5,000 - 9,999",6
University of Missouri-St Louis,50.0,61.0,61.0,,34.0,50.0,55.0,38.0,67.0,71.0,Suburb: Large,"10,000 - 19,999",2
Truman State University,89.0,76.0,77.0,50.0,62.0,76.0,73.0,53.0,64.0,54.0,Town: Remote,"1,000 - 4,999",6
Northwest Missouri State University,50.0,71.0,80.0,50.0,27.0,35.0,56.0,46.0,64.0,79.0,Town: Remote,"5,000 - 9,999",6
Southeast Missouri State University,33.0,37.0,37.0,,39.0,46.0,60.0,45.0,71.0,63.0,City: Small,"5,000 - 9,999",4
Missouri State University-Springfield,33.0,60.0,62.0,0.0,38.0,51.0,61.0,43.0,50.0,65.0,City: Midsize,"20,000 and above",9
Montana State University Billings,18.0,17.0,25.0,0.0,7.0,13.0,33.0,19.0,0.0,14.0,City: Midsize,"1,000 - 4,999",1
Montana Technological University,75.0,50.0,50.0,,0.0,57.0,57.0,0.0,67.0,56.0,Town: Remote,"1,000 - 4,999",6
Montana State University,33.0,50.0,52.0,0.0,29.0,49.0,59.0,46.0,59.0,38.0,Town: Remote,"10,000 - 19,999",6
The University of Montana,23.0,36.0,27.0,67.0,37.0,36.0,49.0,34.0,42.0,53.0,City: Small,"5,000 - 9,999",4
Montana State University-Northern,23.0,33.0,100.0,0.0,0.0,23.0,33.0,0.0,17.0,50.0,Town: Remote,"1,000 - 4,999",6
The University of Montana-Western,18.0,33.0,50.0,0.0,0.0,38.0,48.0,33.0,0.0,,Town: Remote,"1,000 - 4,999",6
Chadron State College,0.0,33.0,100.0,0.0,22.0,30.0,49.0,27.0,75.0,29.0,Town: Remote,"1,000 - 4,999",6
University of Nebraska at Kearney,0.0,80.0,80.0,,22.0,47.0,57.0,35.0,50.0,48.0,Town: Distant,"5,000 - 9,999",8
University of Nebraska at Omaha,25.0,63.0,65.0,33.0,33.0,43.0,51.0,37.0,67.0,69.0,City: Large,"10,000 - 19,999",2
University of Nebraska-Lincoln,60.0,63.0,63.0,67.0,45.0,54.0,67.0,59.0,60.0,72.0,City: Large,"20,000 and above",0
Peru State College,0.0,50.0,50.0,,15.0,7.0,44.0,13.0,,0.0,Rural: Distant,"1,000 - 4,999",7
Wayne State College,100.0,60.0,60.0,,30.0,27.0,55.0,33.0,100.0,,Town: Distant,"1,000 - 4,999",8
University of Nevada-Las Vegas,33.0,58.0,59.0,25.0,33.0,44.0,48.0,43.0,20.0,71.0,City: Midsize,"20,000 and above",9
University of Nevada-Reno,62.0,70.0,71.0,47.0,60.0,58.0,63.0,61.0,56.0,46.0,City: Large,"20,000 and above",0
University of New Hampshire-Main Campus,83.0,80.0,80.0,,70.0,73.0,78.0,86.0,76.0,63.0,Suburb: Small,"10,000 - 19,999",9
Keene State College,0.0,69.0,67.0,100.0,31.0,50.0,60.0,32.0,69.0,,Town: Distant,"1,000 - 4,999",8
University of New Hampshire at Manchester,,60.0,60.0,,0.0,50.0,69.0,50.0,50.0,,City: Midsize,"Under 1,000",1
Plymouth State University,56.0,69.0,82.0,0.0,34.0,40.0,52.0,68.0,48.0,32.0,Town: Remote,"1,000 - 4,999",6
Granite State College,0.0,,,,0.0,0.0,15.0,50.0,50.0,,Town: Fringe,"1,000 - 4,999",1
Rowan University,50.0,75.0,75.0,100.0,48.0,60.0,73.0,61.0,51.0,53.0,Suburb: Large,"10,000 - 19,999",5
New Jersey City University,20.0,58.0,58.0,60.0,32.0,35.0,43.0,57.0,51.0,67.0,City: Large,"5,000 - 9,999",4
Kean University,50.0,60.0,61.0,0.0,43.0,49.0,61.0,48.0,48.0,47.0,Suburb: Large,"10,000 - 19,999",2
Montclair State University,50.0,63.0,63.0,50.0,59.0,62.0,70.0,71.0,70.0,57.0,Suburb: Large,"20,000 and above",5
New Jersey Institute of Technology,100.0,79.0,79.0,,65.0,67.0,74.0,76.0,83.0,70.0,City: Large,"10,000 - 19,999",0
Ramapo College of New Jersey,71.0,66.0,66.0,,57.0,69.0,72.0,25.0,64.0,57.0,Suburb: Large,"5,000 - 9,999",5
Rutgers University-Camden,100.0,80.0,79.0,100.0,53.0,54.0,70.0,62.0,58.0,63.0,City: Small,"5,000 - 9,999",5
Rutgers University-New Brunswick,50.0,89.0,89.0,80.0,80.0,74.0,85.0,81.0,81.0,84.0,City: Small,"20,000 and above",5
Rutgers University-Newark,0.0,70.0,71.0,33.0,59.0,61.0,72.0,68.0,68.0,71.0,City: Large,"10,000 - 19,999",2
Stockton University,33.0,80.0,79.0,100.0,71.0,70.0,78.0,69.0,73.0,,Suburb: Midsize,"5,000 - 9,999",5
The College of New Jersey,,83.0,83.0,,78.0,80.0,88.0,100.0,87.0,100.0,Suburb: Large,"5,000 - 9,999",5
William Paterson University of New Jersey,100.0,63.0,63.0,100.0,46.0,51.0,63.0,55.0,43.0,100.0,Suburb: Large,"5,000 - 9,999",5
Eastern New Mexico University-Main Campus,54.0,40.0,50.0,33.0,25.0,39.0,45.0,38.0,50.0,75.0,Town: Remote,"5,000 - 9,999",6
Institute of American Indian and Alaska Native Culture and Arts Development,26.0,,,,,0.0,,50.0,0.0,,Rural: Fringe,"Under 1,000",1
New Mexico Highlands University,16.0,50.0,50.0,,4.0,29.0,31.0,20.0,0.0,30.0,Town: Remote,"1,000 - 4,999",6
New Mexico Institute of Mining and Technology,27.0,75.0,75.0,,50.0,50.0,59.0,57.0,50.0,100.0,Town: Remote,"1,000 - 4,999",6
University of New Mexico-Main Campus,29.0,70.0,70.0,86.0,42.0,50.0,56.0,48.0,57.0,60.0,City: Large,"20,000 and above",0
New Mexico State University-Main Campus,38.0,63.0,63.0,,41.0,50.0,54.0,45.0,53.0,64.0,Suburb: Midsize,"10,000 - 19,999",2
Western New Mexico University,20.0,23.0,23.0,,25.0,31.0,28.0,50.0,38.0,67.0,Town: Remote,"1,000 - 4,999",6
CUNY Bernard M Baruch College,100.0,81.0,81.0,50.0,56.0,74.0,69.0,47.0,,71.0,City: Large,"10,000 - 19,999",0
CUNY Brooklyn College,100.0,59.0,59.0,50.0,53.0,50.0,58.0,55.0,,32.0,City: Large,"10,000 - 19,999",2
College of Staten Island CUNY,22.0,43.0,43.0,67.0,22.0,32.0,45.0,23.0,,33.0,City: Large,"10,000 - 19,999",2
CUNY City College,67.0,61.0,62.0,20.0,65.0,55.0,54.0,59.0,,64.0,City: Large,"10,000 - 19,999",2
CUNY Hunter College,67.0,59.0,59.0,42.0,47.0,53.0,59.0,53.0,,62.0,City: Large,"20,000 and above",0
CUNY John Jay College of Criminal Justice,60.0,58.0,59.0,44.0,52.0,53.0,53.0,48.0,,49.0,City: Large,"10,000 - 19,999",2
CUNY Lehman College,25.0,59.0,58.0,100.0,55.0,52.0,51.0,33.0,,76.0,City: Large,"10,000 - 19,999",2
CUNY Medgar Evers College,20.0,40.0,40.0,,25.0,19.0,11.0,31.0,,26.0,City: Large,"1,000 - 4,999",1
CUNY New York City College of Technology,15.0,28.0,27.0,62.0,18.0,19.0,25.0,16.0,,28.0,City: Large,"10,000 - 19,999",2
CUNY Queens College,38.0,58.0,58.0,67.0,51.0,48.0,64.0,59.0,,49.0,City: Large,"10,000 - 19,999",2
CUNY York College,88.0,34.0,32.0,90.0,32.0,32.0,42.0,14.0,,30.0,City: Large,"5,000 - 9,999",4
SUNY College of Technology at Canton,19.0,25.0,33.0,0.0,29.0,31.0,46.0,56.0,43.0,77.0,Town: Remote,"1,000 - 4,999",6
SUNY College of Technology at Delhi,50.0,36.0,44.0,0.0,36.0,37.0,49.0,48.0,39.0,82.0,Town: Remote,"1,000 - 4,999",6
SUNY College of Agriculture and Technology at Cobleskill,25.0,43.0,43.0,,31.0,29.0,51.0,32.0,,0.0,Town: Distant,"1,000 - 4,999",8
Farmingdale State College,100.0,57.0,57.0,50.0,52.0,53.0,55.0,44.0,33.0,42.0,Suburb: Large,"5,000 - 9,999",4
SUNY at Albany,17.0,67.0,68.0,25.0,70.0,63.0,65.0,60.0,73.0,60.0,City: Small,"10,000 - 19,999",2
Binghamton University,75.0,80.0,80.0,,75.0,82.0,85.0,82.0,68.0,76.0,Suburb: Midsize,"10,000 - 19,999",5
University at Buffalo,56.0,77.0,77.0,100.0,64.0,63.0,74.0,62.0,77.0,79.0,Suburb: Large,"20,000 and above",5
Stony Brook University,50.0,85.0,85.0,100.0,74.0,75.0,76.0,63.0,86.0,72.0,Suburb: Large,"20,000 and above",5
SUNY College of Environmental Science and Forestry,,78.0,88.0,0.0,50.0,57.0,74.0,46.0,63.0,89.0,City: Midsize,"1,000 - 4,999",9
SUNY Polytechnic Institute,,65.0,68.0,0.0,58.0,46.0,64.0,63.0,,,Suburb: Midsize,"1,000 - 4,999",5
SUNY Brockport,50.0,65.0,69.0,0.0,55.0,51.0,66.0,55.0,64.0,63.0,Town: Fringe,"5,000 - 9,999",4
