institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
SUNY Buffalo State University,10.0,30.0,31.0,0.0,38.0,28.0,43.0,21.0,,41.0,City: Large,"5,000 - 9,999",4
SUNY Cortland,33.0,50.0,50.0,,59.0,69.0,70.0,58.0,73.0,100.0,Town: Distant,"5,000 - 9,999",8
SUNY at Fredonia,80.0,59.0,63.0,0.0,46.0,51.0,63.0,58.0,77.0,29.0,Town: Distant,"1,000 - 4,999",8
SUNY College at Geneseo,,68.0,68.0,,61.0,64.0,77.0,69.0,83.0,54.0,Town: Distant,"1,000 - 4,999",8
State University of New York at New Paltz,,72.0,73.0,0.0,78.0,72.0,74.0,57.0,60.0,80.0,Suburb: Large,"5,000 - 9,999",5
SUNY Oneonta,80.0,78.0,77.0,100.0,60.0,68.0,77.0,69.0,79.0,67.0,Town: Remote,"5,000 - 9,999",5
State University of New York at Oswego,71.0,61.0,62.0,0.0,55.0,54.0,68.0,67.0,67.0,66.0,Town: Distant,"5,000 - 9,999",8
SUNY College at Potsdam,60.0,58.0,61.0,0.0,47.0,41.0,54.0,38.0,40.0,67.0,Town: Remote,"1,000 - 4,999",6
SUNY at Purchase College,,68.0,70.0,50.0,71.0,57.0,72.0,58.0,53.0,93.0,Suburb: Large,"1,000 - 4,999",5
SUNY College at Old Westbury,100.0,58.0,58.0,100.0,48.0,43.0,53.0,29.0,55.0,33.0,Suburb: Large,"1,000 - 4,999",1
SUNY College at Plattsburgh,100.0,73.0,73.0,,56.0,57.0,68.0,33.0,59.0,75.0,Town: Distant,"1,000 - 4,999",8
Empire State University,0.0,25.0,25.0,,20.0,25.0,29.0,25.0,0.0,,Suburb: Small,"5,000 - 9,999",4
SUNY Maritime College,,46.0,46.0,,42.0,76.0,75.0,78.0,67.0,100.0,City: Large,"1,000 - 4,999",0
United States Merchant Marine Academy,75.0,63.0,59.0,100.0,100.0,62.0,81.0,,100.0,50.0,Suburb: Large,"Under 1,000",5
Appalachian State University,46.0,79.0,78.0,100.0,71.0,70.0,76.0,69.0,82.0,82.0,Town: Distant,"20,000 and above",5
East Carolina University,54.0,75.0,74.0,86.0,61.0,62.0,67.0,54.0,64.0,67.0,City: Small,"20,000 and above",5
Elizabeth City State University,100.0,,,,41.0,60.0,33.0,50.0,80.0,0.0,Town: Distant,"1,000 - 4,999",8
Fayetteville State University,45.0,55.0,60.0,0.0,43.0,42.0,49.0,75.0,48.0,0.0,City: Midsize,"5,000 - 9,999",4
