institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total
William Woods University,51.0,Town: Distant,75.0,0.3315649867374005,0.7957559681697612,5.503978779840849,4.244031830238726,0.0663129973474801,76.59151193633951,2.453580901856764,7.427055702917771,2.586206896551724,1508
Carroll College,70.0,Town: Remote,78.0,0.4280821917808219,1.2842465753424657,0.5993150684931506,5.308219178082192,0.2568493150684931,77.56849315068493,4.623287671232877,8.98972602739726,0.9417808219178082,1168
Rocky Mountain College,46.0,City: Midsize,66.0,2.6565464895635675,0.5692599620493358,3.130929791271347,8.444022770398481,0.4743833017077798,74.00379506641366,5.787476280834915,0.5692599620493358,4.364326375711575,1054
Bellevue University,41.0,Suburb: Large,51.0,0.7008164149989162,4.356621631385015,15.670833032295354,16.24882595188209,0.3612455747417094,52.857452496206925,3.424608048551405,6.343472292464418,0.0361245574741709,13841
Clarkson College,72.0,City: Large,73.0,0.176522506619594,3.3539276257722856,7.149161518093557,4.324801412180053,0.264783759929391,72.10944395410415,8.914386584289497,3.7069726390114734,0.0,1133
Concordia University-Nebraska,59.0,Town: Distant,72.0,0.2953724975385625,3.1178208073514933,2.559894978667542,7.35149327207089,0.0984574991795208,67.08237610764687,3.478831637676403,14.341975713816868,1.6737774860518542,3047
Creighton University,78.0,City: Large,92.0,0.285816362986781,8.753126116470169,3.215434083601286,8.753126116470169,0.1309991663689413,70.31082529474813,5.061331427890913,1.1789924973204715,2.3103489341431462,8397
Doane University,61.0,Town: Distant,68.0,0.1596593932943054,1.7030335284725917,3.8318254390633313,7.716870675891431,0.1064395955295369,76.05109100585418,2.6609898882384244,5.907397551889303,1.8626929217668973,1879
Nebraska Methodist College of Nursing & Allied Health,72.0,City: Large,84.0,0.6108202443280977,3.1413612565445024,5.148342059336824,7.068062827225131,0.3490401396160558,77.92321116928447,1.7452006980802792,3.8394415357766154,0.1745200698080279,1146
Midland University,44.0,Town: Distant,69.0,0.0,2.6006191950464395,6.439628482972136,14.303405572755418,0.0,60.12383900928793,1.238390092879257,10.092879256965944,5.201238390092879,1615
Nebraska Wesleyan University,59.0,City: Large,75.0,0.3554502369668246,2.488151658767773,3.2582938388625595,8.827014218009479,0.0592417061611374,78.25829383886256,3.0213270142180093,1.6587677725118484,2.0734597156398102,1688
Union College,56.0,City: Large,68.0,0.0949216896060749,6.4546748932131,4.318936877076411,8.685334598955862,0.0474608448030374,66.06549596582819,3.2747982914095872,0.9966777408637874,10.061699098243947,2107
Dartmouth College,95.0,Town: Remote,98.0,0.8451957295373667,12.218268090154211,5.17497034400949,8.407473309608541,0.0148279952550415,45.65539739027283,5.604982206405694,2.1500593119810203,19.9288256227758,6744
Franklin Pierce University,52.0,Rural: Fringe,74.0,0.3607937462417318,2.7660853878532774,5.171377029464823,9.801563439567047,0.1202645820805772,71.25676488274203,2.9464822609741432,3.6079374624173184,3.96873120865905,1663
New England College,31.0,Rural: Distant,61.0,0.1753155680224404,0.7012622720897616,5.5049088359046285,4.38288920056101,0.035063113604488,25.140252454417958,1.5427769985974753,9.957924263674617,52.55960729312763,2852
Rivier University,58.0,City: Small,76.0,0.2352018816150529,21.442571540572324,8.428067424539396,3.684829478635829,0.1960015680125441,58.33006664053313,1.5680125441003527,6.115248921991376,0.0,2551
Saint Anselm College,85.0,Suburb: Midsize,89.0,0.1011633788568538,1.112797167425392,1.5174506828528074,4.451188669701568,0.0505816894284269,86.94992412746586,2.3773394031360646,2.731411229135053,0.7081436519979768,1977
Bloomfield College,34.0,Suburb: Large,81.0,0.7805724197745013,2.4284475281873377,48.482220294882914,31.743278404163057,0.0,8.23937554206418,0.6071118820468344,3.902862098872507,3.816131830008673,1153
Caldwell University,68.0,Suburb: Large,71.0,0.1479289940828402,3.895463510848126,15.779092702169626,27.366863905325445,0.0,33.38264299802761,1.3313609467455625,5.719921104536489,12.3767258382643,2028
Centenary University,62.0,Suburb: Large,76.0,0.1335113484646194,3.6048064085447264,6.475300400534046,15.42056074766355,0.0,63.08411214953272,4.405874499332444,6.875834445927905,0.0,1498
Drew University,74.0,Suburb: Large,88.0,0.1434034416826003,4.2065009560229445,10.325047801147228,2.294455066921606,0.0,51.05162523900574,7.170172084130019,6.453154875717017,18.35564053537285,2092
Fairleigh Dickinson University-Metropolitan Campus,51.0,Suburb: Large,76.0,0.3294440631434454,5.518188057652711,7.824296499656828,22.155113246396706,0.0823610157858613,42.59437199725463,1.6746739876458476,14.221002059025396,5.600549073438573,7285
Felician University,52.0,Suburb: Large,70.0,0.2327746741154562,6.005586592178771,19.180633147113596,38.03538175046555,0.186219739292365,27.560521415270017,1.9087523277467413,2.560521415270019,4.329608938547486,2148
Fairleigh Dickinson University-Florham Campus,61.0,Suburb: Large,80.0,0.1771165426850867,7.155508324477506,9.174636911087497,21.253985122210413,0.0708466170740347,52.17853347502657,2.5504782146652496,5.136379737867517,2.302515054906128,2823
Georgian Court University,54.0,City: Small,72.0,0.2038735983690112,2.140672782874617,7.543323139653414,12.232415902140673,0.1529051987767584,55.86136595310908,2.344546381243629,17.2782874617737,2.2426095820591234,1962
Monmouth University,68.0,Suburb: Large,79.0,0.0596777402029043,2.605927988860155,5.351104038193754,15.555997612890394,0.0198925800676347,69.18639347523374,2.327431867913268,3.282275711159737,1.6112989854784163,5027
Princeton University,97.0,City: Small,97.0,0.0904772675865188,18.2650983940285,6.423885998642841,8.889391540375481,0.0678579506898891,34.5510065596019,5.462565030536077,2.963130513458493,23.2865867450803,8842
Rider University,67.0,Suburb: Large,77.0,0.2960039467192896,5.106068080907746,13.542180562407498,16.107548100641342,0.1726689689195856,54.6620621608288,3.2807104094721264,2.713369511593488,4.119388258510114,4054
Saint Peter's University,60.0,City: Large,78.0,0.1457725947521866,6.326530612244897,14.198250728862972,28.54227405247813,0.1166180758017492,19.067055393586006,0.1749271137026239,4.314868804664723,27.113702623906704,3430
Seton Hall University,72.0,Suburb: Large,83.0,0.1143094669022134,9.57081991063078,10.890574664865426,19.827496622674843,0.1143094669022134,51.01319754754235,3.481242855658319,2.9408708303024005,2.0471786345214587,9623
